date,solarenergy,evapotranspiration,rainfallvalue,humidity,temp,soilmoisture,inflow
2019-06-13,21.7,2.28,0.04,49.6,34.4,25.43,0.0
2019-06-14,22.8,2.45,0.0,50.1,34.4,24.62,0.0
2019-06-15,24.2,2.41,0.01,47.5,34.8,23.84,0.0
2019-06-16,24.0,2.32,0.09,45.3,35.0,23.14,0.0
2019-06-17,17.0,2.02,0.01,46.5,33.7,22.65,0.0
2019-06-18,22.0,2.1,1.86,39.3,35.6,22.4,115.74074074074076
2019-06-19,24.1,2.25,3.89,41.8,35.6,21.91,0.0
2019-06-20,19.7,2.17,10.54,53.2,33.7,22.08,0.0
2019-06-21,15.1,3.41,16.42,72.0,30.0,23.16,115.74074074074076
2019-06-22,11.0,2.11,1.88,69.3,30.1,26.18,0.0
2019-06-23,14.8,3.59,2.47,65.7,30.6,27.39,0.0
2019-06-24,20.1,3.09,1.7,66.9,30.9,28.64,0.0
2019-06-25,20.4,3.84,0.0,73.3,30.5,30.99,0.0
2019-06-26,19.0,2.41,0.95,63.1,31.7,29.51,0.0
2019-06-27,22.9,2.7,1.24,52.5,33.4,28.6,0.0
2019-06-28,16.2,2.08,4.11,55.5,32.7,28.57,0.0
2019-06-29,9.1,2.14,5.69,67.8,30.0,28.3,0.0
2019-06-30,10.2,1.27,5.16,66.9,29.3,31.13,0.0
2019-07-01,8.1,3.14,0.48,76.8,27.7,33.92,0.0
2019-07-02,8.7,3.46,1.52,72.9,28.5,32.8,0.0
2019-07-03,9.6,2.58,0.92,68.3,29.8,31.5,0.0
2019-07-04,19.1,3.21,2.38,62.8,30.9,30.62,0.0
2019-07-05,10.9,2.58,0.15,69.3,29.6,29.77,9375.0
2019-07-06,13.9,2.51,0.84,61.5,30.6,28.92,0.0
2019-07-07,12.5,2.05,0.8,61.6,30.8,28.23,0.0
2019-07-08,18.7,3.44,0.09,60.6,31.3,27.05,0.0
2019-07-09,18.4,2.62,4.78,58.4,31.7,26.46,0.0
2019-07-10,17.8,3.45,0.7,58.6,31.7,29.24,0.0
2019-07-11,16.9,3.25,0.38,66.3,30.2,29.73,0.0
2019-07-12,21.3,4.03,1.86,60.4,31.1,31.25,0.0
2019-07-13,20.1,4.48,7.05,58.6,32.0,31.63,0.0
2019-07-14,21.1,3.75,2.96,58.9,31.9,31.94,0.0
2019-07-15,20.4,3.54,6.07,61.0,31.1,32.31,0.0
2019-07-16,21.9,3.87,5.62,58.1,31.9,32.42,0.0
2019-07-17,22.1,3.87,15.15,56.9,32.2,34.43,0.0
2019-07-18,19.0,4.16,14.11,60.5,31.5,34.57,0.0
2019-07-19,7.8,3.59,1.53,72.3,29.2,34.71,0.0
2019-07-20,17.5,4.27,4.45,73.0,28.9,33.45,0.0
2019-07-21,17.2,3.71,2.62,68.2,30.0,33.6,0.0
2019-07-22,16.3,3.86,0.23,71.3,30.2,34.2,0.0
2019-07-23,12.3,3.85,0.88,69.5,29.5,33.65,0.0
2019-07-24,18.8,3.51,7.08,62.8,30.8,31.9,0.0
2019-07-25,13.4,2.4,14.6,62.7,31.1,32.22,0.0
2019-07-26,9.7,2.61,0.12,77.7,27.5,36.1,0.0
2019-07-27,6.8,2.57,6.02,79.2,26.8,33.94,0.0
2019-07-28,6.0,1.66,5.55,82.4,26.6,35.07,0.0
2019-07-29,4.9,2.53,1.13,84.5,26.0,35.43,0.0
2019-07-30,12.8,2.93,2.7,74.3,27.9,33.97,0.0
2019-07-31,20.4,2.84,18.75,67.6,29.3,33.35,1388.88888888889
2019-08-01,13.8,1.99,19.52,75.1,27.7,37.18,6944.444444444443
2019-08-02,3.1,2.46,4.22,89.3,25.0,37.63,11111.111111111111
2019-08-03,7.9,3.22,2.66,82.0,26.4,36.81,12268.518518518524
2019-08-04,8.3,2.72,4.59,78.0,27.4,36.41,12962.962962962954
2019-08-05,7.8,2.96,1.05,72.6,28.3,36.27,13078.703703703712
