Date,Temp
2020-10-28,79.8
2020-10-29,79.8
2020-10-30,81.9
2020-10-31,80.5
2020-11-01,79.9
2020-11-02,80.8
2020-11-03,81.7
2020-11-04,79.7
2020-11-05,78.1
2020-11-06,78.0
2020-11-07,80.0
2020-11-08,79.0
2020-11-09,75.5
2020-11-10,73.4
2020-11-11,75.6
2020-11-12,77.5
2020-11-13,79.5
2020-11-14,79.8
2020-11-15,79.1
2020-11-16,78.2
2020-11-17,78.8
2020-11-18,79.0
2020-11-19,80.3
2020-11-20,78.3
2020-11-21,78.8
2020-11-22,79.4
2020-11-23,78.1
2020-11-24,75.3
2020-11-25,75.8
2020-11-26,72.5
2020-11-27,69.9
2020-11-28,72.4
2020-11-29,76.8
2020-11-30,77.3
2020-12-01,76.4
2020-12-02,75.2
2020-12-03,75.1
2020-12-04,75.9
2020-12-05,75.3
2020-12-06,73.9
2020-12-07,76.4
2020-12-08,76.3
2020-12-09,73.9
2020-12-10,73.7
2020-12-11,74.5
2020-12-12,73.5
2020-12-13,73.3
2020-12-14,73.9
2020-12-15,74.7
2020-12-16,75.4
2020-12-17,75.8
2020-12-18,75.8
2020-12-19,75.1
2020-12-20,72.8
2020-12-21,70.6
2020-12-22,68.9
2020-12-23,68.8
2020-12-24,71.5
2020-12-25,71.6
2020-12-26,71.9
2020-12-27,72.2
2020-12-28,72.4
2020-12-29,73.2
2020-12-30,73.3
2020-12-31,74.5
2021-01-01,74.6
2021-01-02,72.7
2021-01-03,72.5
2021-01-04,72.4
2021-01-05,75.0
2021-01-06,76.2
2021-01-07,77.5
2021-01-08,77.9
2021-01-09,76.6
2021-01-10,76.5
2021-01-11,76.3
2021-01-12,76.5
2021-01-13,76.7
2021-01-14,76.4
2021-01-15,76.3
2021-01-16,76.2
2021-01-17,75.4
2021-01-18,75.4
2021-01-19,75.1
2021-01-20,76.6
2021-01-21,77.3
2021-01-22,78.0
2021-01-23,76.9
2021-01-24,77.7
2021-01-25,78.3
2021-01-26,78.1
2021-01-27,77.5
2021-01-28,77.4
2021-01-29,77.9
2021-01-30,77.0
2021-01-31,76.9
2021-02-01,76.4
2021-02-02,75.9
2021-02-03,75.4
2021-02-04,74.6
2021-02-05,74.6
2021-02-06,75.5
2021-02-07,75.9
2021-02-08,74.0
2021-02-09,75.5
2021-02-10,75.5
2021-02-11,75.6
2021-02-12,76.1
2021-02-13,76.5
2021-02-14,76.9
2021-02-15,78.0
2021-02-16,78.8
2021-02-17,77.6
2021-02-18,76.9
2021-02-19,74.7
2021-02-20,75.7
2021-02-21,76.8
2021-02-22,79.1
2021-02-23,80.5
2021-02-24,79.6
2021-02-25,80.0
2021-02-26,81.7
2021-02-27,82.2
2021-02-28,83.2
2021-03-01,82.6
2021-03-02,81.1
2021-03-03,82.0
2021-03-04,81.4
2021-03-05,82.1
2021-03-06,81.0
2021-03-07,82.9
2021-03-08,82.1
2021-03-09,81.1
2021-03-10,81.1
2021-03-11,81.6
2021-03-12,81.7
2021-03-13,80.4
2021-03-14,81.3
2021-03-15,82.4
2021-03-16,83.4
